RPC,Address,EHO_Permit_Status,EHO_Permits,Multi_Unit_Permit,SFD_Permit,Demolition_Permit,Development_Project,Construction_Status
06023031,4026 18th RD N,Approved,"ZEHO25-00001 (Revisions Received), ZEHO25-00001 (Approved)",None,RNEW25-04173: Awaiting Plans and Documents (New Single Family Home with attached garaage...),DEMO26-00067: Finaled; DEMO26-00067: Inspection Scheduled,4026 18th Rd N (EHO) (ID: 25556) - Status: Approved (Not Under Construction),Not Started
26026055,4229 16th ST S,Approved,"ZEHO23-00044 (Approved), ZEHO24-00013 (Approved), ZEHO23-00044 (Approved), ZEHO24-00013 (Approved)",None,None,None,4229 16Th St S (EHO) (ID: 19770) - Status: Approved (Not Under Construction),Not Started
07028009,4610 17th ST N,Approved,"ZEHO23-00055 (Approved), ZEHO23-00055 (Approved)",None,RNEW23-03188: Revisions Required (New Single Family Home with Detached Garage with ADU above...); RNEW24-04710: Application Complete (CONSTRUCTION OF NEW SFH WITH ATTACHED ADU AND ASSOCIATED SIT...); RNEW24-04710: Finaled (CONSTRUCTION OF NEW SFH WITH ATTACHED ADU AND ASSOCIATED SIT...); RNEW24-04710: Issued Awaiting Insp (CONSTRUCTION OF NEW SFH WITH ATTACHED ADU AND ASSOCIATED SIT...),DEMO24-00143: Finaled; DEMO24-00143: Inspection Scheduled,4610 17Th St N (EHO) (ID: 19775) - Status: Approved (Not Under Construction),Complete
13022013,4611 N CARLIN SPRINGS RD,Approved,"ZEHO23-00036 (Approved), ZEHO23-00036 (Approved)","CNEW24-00684: Revision Pending (Commercial New - Demolish existing single family residence, detached ADU, she...); CNEW24-00684: Issued Awaiting Inspection (Commercial New - Demolish existing single family residence, detached ADU, she...)",None,DEMO21-00279: Expired; DEMO24-00116: Finaled; DEMO24-00116: Inspection Scheduled,4611 N Carlin Springs Rd (EHO) (ID: 19688) - Status: Under Construction,Underway
07044024,4923 14th ST N,Approved,"ZEHO24-00023 (Approved), ZEHO24-00023 (Approved)",None,None,DEMO26-00071: Finaled; DEMO26-00071: Inspection Scheduled,4923 14Th St N (EHO) (ID: 23785) - Status: Approved (Not Under Construction),Not Started
28026013,5041 25th ST S,Approved,"ZEHO23-00022 (Approved), ZEHO23-00022 (Approved)",RNEW23-03490: Finaled (Residential New - new duplex in R6 District with expanded housing option devel...); RNEW23-03490: Issued Awaiting Insp (Residential New - new duplex in R6 District with expanded housing option devel...),"RNEW24-00385: Issued Awaiting Insp (new semi-detached home shared with 5041 25th St S. 2,532 gro...); RNEW24-00385: Finaled (new semi-detached home shared with 5041 25th St S. 2,532 gro...)",DEMO23-00133: Inspection Scheduled; DEMO23-00133: Finaled,5041 25th St S (EHO) (ID: 19686) - Status: Completed,Complete
09049013,5104 14TH ST N,Approved,"ZEHO23-00063 (Approved), ZEHO23-00063 (Approved)",None,RNEW23-06852: Awaiting Plans and Documents (*New Single Family Dwelling....),None,5104 14Th St N (EHO) (ID: 19862) - Status: Approved (Not Under Construction),Not Started
10010026,5617 23rd ST N,Approved,"ZEHO23-00054 (Approved), ZEHO23-00054 (Approved)",RNEW24-01810: Awaiting Plans and Documents (Residential New - New duplex...),None,DEMO24-00047: Awaiting Plans and Documents; DEMO24-00035: Application Complete; DEMO24-00059: Finaled; DEMO24-00035: Finaled; DEMO24-00059: Inspection Scheduled; DEMO24-00035: Inspection Scheduled,5617 23Rd St N (EHO) (ID: 19773) - Status: Approved (Not Under Construction),Not Started
13038008,5630 8th ST N,Approved,"ZEHO23-00033 (Awaiting Plans and Documents), ZEHO23-00037 (Awaiting Plans and Documents), ZEHO23-00038 (Awaiting Plans and Documents), ZEHO23-00040 (Approved), ZEHO23-00040 (Approved), ZEHO23-00033 (Void), ZEHO23-00037 (Void), ZEHO23-00038 (Void)",CNEW24-00106: Accepted-Fees Due (Commercial New - New construction EHO...); CNEW24-02958: Revisions Required (Commercial New - New construction EHO 5 units...),RNEW25-01741: Revision Pending (TWO STORY SINGLE FAMILY RESIDENCE WITH BASEMENT....); RNEW25-01741: Issued Awaiting Insp (TWO STORY SINGLE FAMILY RESIDENCE WITH BASEMENT....),DEMO23-00149: Revisions Required; DEMO23-00149: Expired; DEMO23-00149: Revisions Required; DEMO23-00149: Issued Awaiting Insp,5630 8Th St N (EHO) (ID: 19960) - Status: Approved (Not Under Construction),Underway
11049020,6119 11th ST N,Approved,"ZEHO25-00004 (Approved), ZEHO25-00004 (In Review)",None,None,None,6119 11th St N (EHO) (ID: 25557) - Status: Approved (Not Under Construction),Not Started
